PlayerID	PlayerName	FantasyRole	AccountID	SteamID	ProTeamID	FantasyTeamID	PlayStatus
1	RAMZES666	1	132851371	1	1	-2	0
2	No[o]ne-	1	106573901	1	1	-2	0
3	9pasha	3	92423451	1	1	-2	0
4	RodjER	2	159020918	1	1	-2	0
5	Solo	2	134556694	1	1	-2	0
6	MATUMBAMAN	1	72312627	1	4	24	1
7	Miracle-	1	105248644	1	2	-2	0
8	MinD_ContRoL	3	34505203	1	2	-2	0
9	GH	2	101356886	1	2	-2	0
10	KuroKy	2	82262664	1	2	-2	0
11	Ame	1	898754153	1	3	22	0
12	Somnus` M	4	106863163	1	35	0	0
13	Chalice	3	94738847	1	3	-2	0
14	fy	2	101695162	1	35	21	1
15	xNova	2	94296097	1	3	-2	0
16	Ace	1	97590558	1	19	-2	0
17	MidOne	1	116585378	1	4	-2	0
18	Fata	1	86799300	1	19	-2	0
19	YapzOr	2	89117038	1	4	22	1
20	Puppey	2	87278757	1	4	24	1
21	Mushi	1	89871557	1	5	-2	0
22	Moon	1	113457795	1	5	-2	0
23	iceiceice	1	84772440	1	16	0	0
24	Jabz	2	100471531	1	13	0	0
25	ninjaboogie	2	91443418	1	5	-2	0
26	Eurus	1	137193239	1	35	24	0
27	Ori	4	107803494	1	6	20	0
28	old eLeVeN	1	134276083	1	6	18	0
29	LaNm	2	89423756	1	29	0	0
30	Fenrir	2	113800818	1	6	-2	0
31	Moogy	1	117281554	1	7	-2	0
32	Sccc	1	149486894	1	7	-2	0
33	kpii	3	87012746	1	5	-2	0
34	Kaka	2	139876032	1	12	23	1
35	Faith	2	82327674	1	7	-2	0
36	Sylar	1	108382060	1	8	-2	0
37	Freeze	1	137272985	1	8	-2	0
38	Yang	1	139937922	1	35	0	1
39	Fade	2	182331313	1	6	-2	0
40	ddc	2	114239371	1	8	-2	0
41	ana	1	311360822	1	9	-2	0
42	Topson	4	94054712	1	9	21	1
43	Ceb	1	88271237	1	9	21	1
